ID	Timestamp	Product	Type	Event	Status	Resource
12596	2019/04/18 07:12:33.8954	.MUs.Helicopter:97	Helicopter	Drain	Complete	.Models.JobShop.Drain
12597	2019/04/18 07:12:35.3163	.MUs.Helicopter:107	Helicopter	Transport	In progress	.MUs.AGV:3
12598	2019/04/18 07:12:42.8954	.MUs.Console:133	Console	Transport	Complete	.MUs.AGV:1
12599	2019/04/18 07:12:42.8954	.MUs.Console:133	Console	Painting	Start	.Models.JobShop.Painting.Input
12600	2019/04/18 07:12:42.8954	.MUs.Console:133	Console	Painting	Waiting	.Models.JobShop.Painting.Input
12601	2019/04/18 07:12:45.0960	.MUs.Helicopter:130	Helicopter	Transport	Complete	.MUs.AGV:4
12602	2019/04/18 07:12:45.0960	.MUs.Helicopter:130	Helicopter	Welding	Start	.Models.JobShop.Welding.Input
12603	2019/04/18 07:12:45.0960	.MUs.Helicopter:130	Helicopter	Welding	Waiting	.Models.JobShop.Welding.Input
12604	2019/04/18 07:12:45.0960	.MUs.Helicopter:98	Helicopter	Transport	In progress	.MUs.AGV:1
12605	2019/04/18 07:12:52.8118	.MUs.Robot:139	Robot	Arrival	Start	.Models.JobShop.Source
12606	2019/04/18 07:12:52.8118	.MUs.Robot:139	Robot	Arrival	Complete	.Models.JobShop.Source
12607	2019/04/18 07:12:52.8118	.MUs.Robot:102	Robot	Transport	In progress	.MUs.AGV:4
12608	2019/04/18 07:12:52.8118	.MUs.Robot:139	Robot	Transport	Start	.Models.JobShop.Buffer
12609	2019/04/18 07:12:52.8118	.MUs.Robot:139	Robot	Transport	Waiting	.Models.JobShop.Buffer
12610	2019/04/18 07:13:01.7056	.MUs.Helicopter:106	Helicopter	Painting	Complete	.Models.JobShop.Painting.Machine
12611	2019/04/18 07:13:01.7056	.MUs.Helicopter:106	Helicopter	Transport	Start	.Models.JobShop.Painting.Output
12612	2019/04/18 07:13:01.7056	.MUs.Helicopter:106	Helicopter	Transport	Waiting	.Models.JobShop.Painting.Output
12613	2019/04/18 07:13:01.7056	.MUs.Console:133	Console	Painting	In progress	.Models.JobShop.Painting.Machine
12614	2019/04/18 07:13:05.3163	.MUs.Helicopter:107	Helicopter	Transport	Complete	.MUs.AGV:3
12615	2019/04/18 07:13:05.3163	.MUs.Helicopter:107	Helicopter	Painting	Start	.Models.JobShop.Painting.Input
12616	2019/04/18 07:13:05.3163	.MUs.Helicopter:107	Helicopter	Painting	Waiting	.Models.JobShop.Painting.Input
12617	2019/04/18 07:13:12.8954	.MUs.Robot:127	Robot	Transport	In progress	.MUs.AGV:2
12618	2019/04/18 07:13:15.2279	.MUs.Helicopter:128	Helicopter	Welding	Complete	.Models.JobShop.Welding.Machine
12619	2019/04/18 07:13:15.2279	.MUs.Helicopter:128	Helicopter	Transport	Start	.Models.JobShop.Welding.Output
12620	2019/04/18 07:13:15.2279	.MUs.Helicopter:128	Helicopter	Transport	Waiting	.Models.JobShop.Welding.Output
12621	2019/04/18 07:13:15.2279	.MUs.Robot:112	Robot	Welding	In progress	.Models.JobShop.Welding.Machine
12622	2019/04/18 07:13:22.8959	.MUs.Robot:127	Robot	Transport	Complete	.MUs.AGV:2
12623	2019/04/18 07:13:22.8959	.MUs.Robot:127	Robot	Sawing	Start	.Models.JobShop.Sawing.Input
12624	2019/04/18 07:13:22.8959	.MUs.Robot:127	Robot	Sawing	Waiting	.Models.JobShop.Sawing.Input
12625	2019/04/18 07:13:22.8959	.MUs.Robot:127	Robot	Sawing	In progress	.Models.JobShop.Sawing.Machine
12626	2019/04/18 07:13:35.0965	.MUs.Helicopter:98	Helicopter	Transport	Complete	.MUs.AGV:1
12627	2019/04/18 07:13:35.0965	.MUs.Helicopter:98	Helicopter	Drain	Start	.Models.JobShop.Drain
12628	2019/04/18 07:13:35.0965	.MUs.Helicopter:98	Helicopter	Drain	Complete	.Models.JobShop.Drain
12629	2019/04/18 07:13:35.2279	.MUs.Robot:128	Robot	Transport	In progress	.MUs.AGV:3
12630	2019/04/18 07:13:42.8123	.MUs.Robot:102	Robot	Transport	Complete	.MUs.AGV:4
12631	2019/04/18 07:13:42.8123	.MUs.Robot:102	Robot	Painting	Start	.Models.JobShop.Painting.Input
12632	2019/04/18 07:13:42.8123	.MUs.Robot:102	Robot	Painting	Waiting	.Models.JobShop.Painting.Input
12633	2019/04/18 07:13:45.2284	.MUs.Robot:128	Robot	Transport	Complete	.MUs.AGV:3
12634	2019/04/18 07:13:45.2284	.MUs.Robot:128	Robot	Sawing	Start	.Models.JobShop.Sawing.Input
12635	2019/04/18 07:13:45.2284	.MUs.Robot:128	Robot	Sawing	Waiting	.Models.JobShop.Sawing.Input
12636	2019/04/18 07:13:45.6857	.MUs.Console:133	Console	Painting	Complete	.Models.JobShop.Painting.Machine
12637	2019/04/18 07:13:45.6857	.MUs.Console:133	Console	Transport	Start	.Models.JobShop.Painting.Output
12638	2019/04/18 07:13:45.6857	.MUs.Console:133	Console	Transport	Waiting	.Models.JobShop.Painting.Output
12639	2019/04/18 07:13:45.6857	.MUs.Helicopter:107	Helicopter	Painting	In progress	.Models.JobShop.Painting.Machine
12640	2019/04/18 07:13:55.2284	.MUs.Helicopter:117	Helicopter	Transport	In progress	.MUs.AGV:4
12641	2019/04/18 07:13:58.5218	.MUs.Console:154	Console	Arrival	Start	.Models.JobShop.Source
12642	2019/04/18 07:13:58.5218	.MUs.Console:154	Console	Arrival	Complete	.Models.JobShop.Source
12643	2019/04/18 07:13:58.5218	.MUs.Console:154	Console	Transport	Start	.Models.JobShop.Buffer
